time,co,sitename,siteid,no2,pm25
2017/10/23 00,0.7,普陀监测站,201,22.0,63.7
2017/10/23 00,0.9,杨浦四漂,209,26.0,60.3
2017/10/23 00,1.4,卢湾师专附小,185,28.0,63.7
2017/10/23 00,0.9,*青浦淀山湖,203,22.0,86.4
2017/10/23 00,1.5,虹口凉城,215,42.0,63.0
2017/10/23 00,0.9,静安监测站,183,26.0,67.4
2017/10/23 00,1.0,徐汇上师大,207,15.0,65.5
2017/10/23 00,0.9,浦东川沙,193,26.0,58.6
2017/10/23 00,0.7,浦东张江,195,24.0,58.9
2017/10/23 00,0.7,浦东监测站,228,18.0,57.7
2017/10/23 00,1.0,全市平均,0,25.2,62.0
time,co,sitename,siteid,no2,pm25
2017/10/23 01,0.7,普陀监测站,201,32.0,63.8
2017/10/23 01,1.1,杨浦四漂,209,32.0,59.6
2017/10/23 01,1.1,卢湾师专附小,185,23.0,63.1
2017/10/23 01,0.9,*青浦淀山湖,203,26.0,86.2
2017/10/23 01,1.1,虹口凉城,215,33.0,62.5
2017/10/23 01,1.0,静安监测站,183,34.0,67.2
2017/10/23 01,1.0,徐汇上师大,207,23.0,65.8
2017/10/23 01,0.8,浦东川沙,193,27.0,58.4
2017/10/23 01,0.6,浦东张江,195,28.0,58.7
2017/10/23 01,0.8,浦东监测站,228,26.0,57.3
2017/10/23 01,0.9,全市平均,0,28.7,61.8
time,co,sitename,siteid,no2,pm25
2017/10/23 02,0.6,普陀监测站,201,33.0,63.5
2017/10/23 02,1.1,杨浦四漂,209,37.0,59.3
2017/10/23 02,1.0,卢湾师专附小,185,25.0,62.7
2017/10/23 02,1.2,*青浦淀山湖,203,35.0,86.0
2017/10/23 02,1.0,虹口凉城,215,35.0,62.0
2017/10/23 02,0.8,静安监测站,183,36.0,67.3
2017/10/23 02,0.9,徐汇上师大,207,22.0,66.2
2017/10/23 02,0.8,浦东川沙,193,29.0,57.9
2017/10/23 02,0.8,浦东张江,195,39.0,58.4
2017/10/23 02,0.8,浦东监测站,228,25.0,57.0
2017/10/23 02,0.9,全市平均,0,31.2,61.5
time,co,sitename,siteid,no2,pm25
2017/10/23 03,0.5,普陀监测站,201,32.0,62.5
2017/10/23 03,1.0,杨浦四漂,209,40.0,59.5
2017/10/23 03,0.9,卢湾师专附小,185,26.0,62.8
2017/10/23 03,0.9,*青浦淀山湖,203,33.0,85.9
2017/10/23 03,0.9,虹口凉城,215,38.0,61.9
2017/10/23 03,0.8,静安监测站,183,41.0,66.9
2017/10/23 03,0.9,徐汇上师大,207,33.0,65.3
2017/10/23 03,0.7,浦东川沙,193,33.0,57.5
